centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
10-30%,-0.1333333333333333,-0.10666666666666669,-0.12,0.026666666666666616,63,590.6250000000011
10-30%,-0.10666666666666669,-0.07999999999999996,-0.09333333333333332,0.026666666666666727,61,571.8749999999987
10-30%,-0.07999999999999996,-0.053333333333333344,-0.06666666666666665,0.026666666666666616,79,740.6250000000014
10-30%,-0.053333333333333344,-0.026666666666666616,-0.03999999999999998,0.026666666666666727,70,656.2499999999985
10-30%,-0.026666666666666616,0.0,-0.013333333333333308,0.026666666666666616,55,515.625000000001
10-30%,0.0,0.026666666666666727,0.013333333333333364,0.026666666666666727,86,806.2499999999982
10-30%,0.026666666666666727,0.053333333333333344,0.040000000000000036,0.026666666666666616,69,646.8750000000013
10-30%,0.053333333333333344,0.07999999999999996,0.06666666666666665,0.026666666666666616,66,618.7500000000011
10-30%,0.07999999999999996,0.10666666666666669,0.09333333333333332,0.026666666666666727,69,646.8749999999985
10-30%,0.10666666666666669,0.1333333333333333,0.12,0.026666666666666616,57,534.375000000001
10-30%,0.1333333333333333,0.16000000000000003,0.14666666666666667,0.026666666666666727,57,534.3749999999987
10-30%,0.16000000000000003,0.18666666666666665,0.17333333333333334,0.026666666666666616,57,534.375000000001
10-30%,0.18666666666666665,0.21333333333333337,0.2,0.026666666666666727,78,731.2499999999983
10-30%,0.21333333333333337,0.24,0.22666666666666668,0.026666666666666616,71,665.6250000000013
10-30%,0.24,0.2666666666666666,0.2533333333333333,0.026666666666666616,60,562.500000000001
10-30%,0.2666666666666666,0.29333333333333345,0.28,0.02666666666666684,58,543.7499999999965
10-30%,0.29333333333333345,0.32000000000000006,0.30666666666666675,0.026666666666666616,58,543.750000000001
10-30%,0.32000000000000006,0.3466666666666667,0.33333333333333337,0.026666666666666616,51,478.1250000000009
10-30%,0.3466666666666667,0.3733333333333333,0.36,0.026666666666666616,50,468.7500000000009
10-30%,0.3733333333333333,0.40000000000000013,0.3866666666666667,0.02666666666666684,54,506.24999999999676
10-30%,0.40000000000000013,0.42666666666666675,0.41333333333333344,0.026666666666666616,66,618.7500000000011
10-30%,0.42666666666666675,0.45333333333333337,0.44000000000000006,0.026666666666666616,65,609.3750000000011
10-30%,0.45333333333333337,0.48,0.4666666666666667,0.026666666666666616,51,478.1250000000009
10-30%,0.48,0.5066666666666666,0.4933333333333333,0.026666666666666616,43,403.12500000000074
10-30%,0.5066666666666666,0.5333333333333334,0.52,0.02666666666666684,56,524.9999999999966
10-30%,0.5333333333333334,0.56,0.5466666666666667,0.026666666666666616,50,468.7500000000009
10-30%,0.56,0.5866666666666667,0.5733333333333334,0.026666666666666616,62,581.2500000000011
10-30%,0.5866666666666667,0.6133333333333333,0.6,0.026666666666666616,52,487.5000000000009
10-30%,0.6133333333333333,0.6400000000000001,0.6266666666666667,0.02666666666666684,55,515.6249999999967
10-30%,0.6400000000000001,0.6666666666666667,0.6533333333333334,0.026666666666666616,45,421.8750000000008
10-30%,0.6666666666666667,0.6933333333333334,0.68,0.026666666666666616,55,515.625000000001
10-30%,0.6933333333333334,0.72,0.7066666666666667,0.026666666666666616,43,403.12500000000074
10-30%,0.72,0.7466666666666668,0.7333333333333334,0.02666666666666684,43,403.1249999999974
10-30%,0.7466666666666668,0.7733333333333334,0.7600000000000001,0.026666666666666616,52,487.5000000000009
10-30%,0.7733333333333334,0.8,0.7866666666666667,0.026666666666666616,40,375.0000000000007
30-50%,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,56,700.0000000000014
30-50%,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,69,862.4999999999981
