delta_eta_center,delta_phi_center,pair_counts
-1.4989625413849816,-0.30543261909900776,186.0
-1.4989625413849816,-0.21816615649929139,159.0
-1.4989625413849816,-0.1308996938995748,174.0
-1.4989625413849816,-0.04363323129985819,189.0
-1.4989625413849816,0.04363323129985819,177.0
-1.4989625413849816,0.13089969389957457,215.0
-1.4989625413849816,0.21816615649929116,191.0
-1.4989625413849816,0.30543261909900776,174.0
-1.4989625413849816,0.39269908169872414,188.0
-1.4989625413849816,0.4799655442984405,180.0
-1.4989625413849816,0.5672320068981569,166.0
-1.4989625413849816,0.6544984694978735,192.0
-1.4989625413849816,0.7417649320975901,181.0
-1.4989625413849816,0.8290313946973065,201.0
-1.4989625413849816,0.9162978572970228,154.0
-1.4989625413849816,1.0035643198967392,162.0
-1.4989625413849816,1.0908307824964556,185.0
-1.4989625413849816,1.178097245096172,161.0
-1.4989625413849816,1.2653637076958888,202.0
-1.4989625413849816,1.3526301702956056,186.0
-1.4989625413849816,1.439896632895322,198.0
-1.4989625413849816,1.5271630954950384,168.0
-1.4989625413849816,1.6144295580947547,179.0
-1.4989625413849816,1.7016960206944711,197.0
-1.4989625413849816,1.7889624832941875,163.0
-1.4989625413849816,1.8762289458939039,201.0
-1.4989625413849816,1.9634954084936203,160.0
-1.4989625413849816,2.050761871093337,180.0
-1.4989625413849816,2.138028333693054,184.0
-1.4989625413849816,2.2252947962927703,187.0
-1.4989625413849816,2.3125612588924866,169.0
-1.4989625413849816,2.399827721492203,177.0
-1.4989625413849816,2.4870941840919194,194.0
-1.4989625413849816,2.574360646691636,186.0
-1.4989625413849816,2.661627109291352,175.0
-1.4989625413849816,2.7488935718910685,186.0
-1.4989625413849816,2.8361600344907854,171.0
-1.4989625413849816,2.923426497090502,190.0
-1.4989625413849816,3.0106929596902186,184.0
-1.4989625413849816,3.097959422289935,188.0
-1.4589941648167373,-3.097959422289935,224.0
-1.4589941648167373,-3.0106929596902186,246.0
-1.4589941648167373,-2.923426497090502,274.0
-1.4589941648167373,-2.8361600344907854,244.0
-1.4589941648167373,-2.748893571891069,255.0
-1.4589941648167373,-2.6616271092913526,259.0
-1.4589941648167373,-2.574360646691636,267.0
-1.4589941648167373,-2.4870941840919194,239.0
-1.4589941648167373,-2.399827721492203,276.0
-1.4589941648167373,-2.3125612588924866,266.0
-1.4589941648167373,-2.2252947962927703,266.0
-1.4589941648167373,-2.138028333693054,234.0
-1.4589941648167373,-2.0507618710933375,281.0
-1.4589941648167373,-1.9634954084936207,229.0
-1.4589941648167373,-1.8762289458939043,268.0
-1.4589941648167373,-1.7889624832941877,270.0
-1.4589941648167373,-1.7016960206944713,259.0
-1.4589941648167373,-1.6144295580947547,245.0
-1.4589941648167373,-1.5271630954950384,227.0
-1.4589941648167373,-1.439896632895322,225.0
-1.4589941648167373,-1.3526301702956054,249.0
-1.4589941648167373,-1.2653637076958888,232.0
-1.4589941648167373,-1.1780972450961724,255.0
-1.4589941648167373,-1.090830782496456,271.0
-1.4589941648167373,-1.0035643198967397,243.0
-1.4589941648167373,-0.9162978572970231,237.0
-1.4589941648167373,-0.8290313946973065,232.0
-1.4589941648167373,-0.7417649320975901,270.0
-1.4589941648167373,-0.6544984694978737,257.0
-1.4589941648167373,-0.5672320068981571,258.0
-1.4589941648167373,-0.4799655442984405,280.0
-1.4589941648167373,-0.39269908169872414,240.0
-1.4589941648167373,-0.30543261909900776,271.0
-1.4589941648167373,-0.21816615649929139,250.0
-1.4589941648167373,-0.1308996938995748,270.0
-1.4589941648167373,-0.04363323129985819,224.0
-1.4589941648167373,0.04363323129985819,260.0
-1.4589941648167373,0.13089969389957457,244.0
-1.4589941648167373,0.21816615649929116,250.0
-1.4589941648167373,0.30543261909900776,273.0
-1.4589941648167373,0.39269908169872414,227.0
-1.4589941648167373,0.4799655442984405,275.0
-1.4589941648167373,0.5672320068981569,223.0
-1.4589941648167373,0.6544984694978735,239.0
